Test angle: 0
Node_A_151 coordinates: initialX | initialY | initialZ 
75.0000 | 0.0000 | 0.0000 | 
Node_B_1051 coordinates: initialX | initialY | initialZ 
-75.0000 | 0.0000 | 0.0000 | 
Node_C_606 coordinates: initialX | initialY | initialZ 
0.0000 | 5.0000 | 0.0000 | 
Node_D_1256 coordinates: initialX | initialY | initialZ 
0.0000 | -5.0000 | 0.0000 | 
  UA1  |  UA2  |  UA3 | UB1 | UB2 | UB3 | UC1 | UC2 | UC3 | UD1 | UD2 | UD3 
0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 
0.0014 | -0.0000 | 0.0000 | 0.0004 | -0.0000 | 0.0000 | 0.0009 | -0.0000 | 0.0000 | 0.0009 | -0.0000 | 0.0000 | 
0.0029 | -0.0000 | -0.0000 | 0.0007 | -0.0000 | -0.0000 | 0.0018 | -0.0001 | -0.0000 | 0.0018 | -0.0000 | -0.0000 | 
0.0051 | -0.0001 | 0.0000 | 0.0013 | -0.0001 | 0.0000 | 0.0032 | -0.0001 | 0.0000 | 0.0032 | -0.0000 | 0.0000 | 
0.0083 | -0.0001 | -0.0000 | 0.0021 | -0.0001 | -0.0000 | 0.0052 | -0.0002 | -0.0000 | 0.0052 | -0.0000 | -0.0000 | 
0.0132 | -0.0001 | 0.0000 | 0.0033 | -0.0001 | 0.0000 | 0.0083 | -0.0002 | 0.0000 | 0.0083 | -0.0000 | 0.0000 | 
0.0205 | -0.0002 | -0.0000 | 0.0052 | -0.0002 | -0.0000 | 0.0128 | -0.0004 | -0.0000 | 0.0128 | -0.0000 | -0.0000 | 
0.0314 | -0.0003 | 0.0000 | 0.0080 | -0.0003 | 0.0000 | 0.0197 | -0.0006 | 0.0000 | 0.0197 | -0.0001 | 0.0000 | 
0.0479 | -0.0005 | -0.0000 | 0.0122 | -0.0005 | -0.0000 | 0.0300 | -0.0009 | -0.0000 | 0.0300 | -0.0001 | -0.0000 | 
0.0726 | -0.0008 | 0.0000 | 0.0184 | -0.0008 | 0.0000 | 0.0455 | -0.0014 | 0.0000 | 0.0455 | -0.0002 | 0.0000 | 
0.1096 | -0.0012 | -0.0000 | 0.0278 | -0.0012 | -0.0000 | 0.0687 | -0.0021 | -0.0000 | 0.0687 | -0.0003 | -0.0000 | 
0.1651 | -0.0018 | 0.0000 | 0.0419 | -0.0018 | 0.0000 | 0.1035 | -0.0031 | 0.0000 | 0.1035 | -0.0004 | 0.0000 | 
0.2373 | -0.0025 | -0.0000 | 0.0602 | -0.0025 | -0.0000 | 0.1487 | -0.0045 | -0.0000 | 0.1487 | -0.0006 | -0.0000 | 
0.3095 | -0.0033 | -0.0000 | 0.0785 | -0.0033 | -0.0000 | 0.1940 | -0.0058 | 0.0000 | 0.1940 | -0.0007 | 0.0000 | 
0.3868 | -0.0037 | 0.0000 | 0.0917 | -0.0033 | -0.0000 | 0.2393 | -0.0067 | 0.0000 | 0.2392 | -0.0003 | 0.0000 | 
0.4650 | -0.0039 | -0.0000 | 0.1040 | -0.0033 | 0.0000 | 0.2846 | -0.0076 | -0.0000 | 0.2844 | 0.0004 | -0.0000 | 
